"","deploymentID","cluster_id","round","week","habitat","cluster","treatment","date","sequenceID","commonName","Snow.cover","Camouflage.mismatch","Interaction_with_lure","deploy_date","interaction","delta_date","n","diff","diff_days","cam_effort","mammal"
"65","R2-W12OC3B","R2-W12OC3","R2","W12","O","C3","B","2022-03-25","c017735efc3a7f77d582ead613067bec","Short-eared Owl",100,"Mismatch","False","2022-03-21",0,4,1,NA,4,10,0
"66","R2-W12OC3C","R2-W12OC3","R2","W12","O","C3","C","2022-04-04","d46d2bad3eafb43ea5eae0a540b35502","Human",NA,"","False","2022-03-21",0,14,0,NA,14,8,0
"67","R2-W12OC3W","R2-W12OC3","R2","W12","O","C3","W","2022-04-04","e46eaa77280bcf3d0ba23baae88aec55","Human",NA,"","False","2022-03-21",0,14,0,NA,14,14,0
"68","R3-W14CC1B","R3-W14CC1","R3","W14","C","C1","B","2022-04-16","4fdcd6b13cd4cef3b736e4425db8a013","Red Fox",70,"Mismatch","False","2022-04-05",0,11,1,NA,11,15,1
"69","R3-W14CC1C","R3-W14CC1","R3","W14","C","C1","C","2022-04-06","cf0c8d1a541bb6967ac324bb42c4a808","Domestic Dog",100,"","False","2022-04-05",0,1,1,NA,1,15,1
"70","R3-W14CC1W","R3-W14CC1","R3","W14","C","C1","W","2022-04-20","a0b2f02af504fdace1fd1423e6d2a8c2","Human",NA,"","False","2022-04-05",0,15,0,NA,15,15,0
"71","R3-W14CC2B","R3-W14CC2","R3","W14","C","C2","B","2022-04-20","18cdb6fc557e7ff90766a819869c025d","Human",NA,"","False","2022-04-05",0,15,0,NA,15,15,0
"72","R3-W14CC2C","R3-W14CC2","R3","W14","C","C2","C","2022-04-07","1e516d1f28864155f4c3d430e1b1e60f","Red Fox",100,"","False","2022-04-05",0,2,1,NA,2,15,1
"73","R3-W14CC2W","R3-W14CC2","R3","W14","C","C2","W","2022-04-20","f3987f1a2c9431977d61d34759ff8e09","Human",NA,"","False","2022-04-05",0,15,0,NA,15,15,0
"74","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-05","4a83a4064ca6bd1506321697fa38f821","Red Fox",100,"Mismatch","False","2022-04-05",0,0,1,NA,0,15,1
"75","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-05","4a83a4064ca6bd1506321697fa38f821","Red Fox",100,"Mismatch","True","2022-04-05",1,0,1,0,0,15,1
"76","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-07","d8fec172b66dc3d67515c97ba4b7981d","Hooded Crow",100,"Mismatch","False","2022-04-05",0,2,1,2,2,15,0
"77","R3-W14CC3B","R3-W14CC3","R3","W14","C","C3","B","2022-04-10","b4b807bd395482b5a07160c1783a9268","Hooded Crow",100,"Mismatch","False","2022-04-05",0,5,1,3,3,15,0
