"","deploymentID","cluster_id","round","week","habitat","cluster","treatment","date.x","sequenceID","commonName","Snow.cover","Interaction_with_lure","interaction","delta_date","n","diff","diff_days","cam_effort","mammal","event","X","deploy_date","date.y","tot_time","down_time","Camouflage.mismatch","cxh"
"77","R3-W14OC1W","R3-W14OC1","R3","W14","O","C1","W","2022-04-09","6befb0cd186293da8e78b22fbf05372c","Red Fox",100,"False",0,5,1,NA,5,15,1,1,48,"2022-04-04","2022-04-19",15,0,"Match","Match O"
"78","R3-W14OC1W","R3-W14OC1","R3","W14","O","C1","W","2022-04-11","daec993aa8e04469b40028f0b31ae586","Domestic Dog",100,"True",1,7,1,2,2,15,1,1,48,"2022-04-04","2022-04-19",15,0,"Match","Match O"
"79","R3-W14OC1W","R3-W14OC1","R3","W14","O","C1","W","2022-04-11","daec993aa8e04469b40028f0b31ae586","Hooded Crow",100,"False",0,7,1,0,0,15,0,1,48,"2022-04-04","2022-04-19",15,0,"Match","Match O"
"80","R3-W14OC1W","R3-W14OC1","R3","W14","O","C1","W","2022-04-12","6d7077c68e5093ea5a60fa617924e202","Hooded Crow",100,"False",0,8,1,1,1,15,0,1,48,"2022-04-04","2022-04-19",15,0,"Match","Match O"
"81","R3-W14OC2B","R3-W14OC2","R3","W14","O","C2","B","2022-04-07","481cd33bd6b5b7eaf495312d042e5c58","Short-eared Owl",100,"False",0,3,1,NA,3,14,0,1,49,"2022-04-04","2022-04-19",15,1,"Mismatch","Mismatch O"
"82","R3-W14OC2B","R3-W14OC2","R3","W14","O","C2","B","2022-04-17","355decc41fe08c4d6f4a7bba8c3c6cad","Red Fox",100,"False",0,13,1,10,10,14,1,1,49,"2022-04-04","2022-04-19",15,1,"Mismatch","Mismatch O"
"83","R3-W14OC2W","R3-W14OC2","R3","W14","O","C2","W","2022-04-19","e4fd685a005daccdb1a9e0c5bac69084","Human",NA,"False",0,15,0,NA,15,13,0,1,51,"2022-04-04","2022-04-19",15,2,"Match","Match O"
"84","R3-W14OC3B","R3-W14OC3","R3","W14","O","C3","B","2022-04-18","3ee08a73df4c75b7a508eb5a78bf5198","Hooded Crow",100,"False",0,14,1,NA,14,15,0,1,52,"2022-04-04","2022-04-19",15,0,"Mismatch","Mismatch O"
"85","R3-W14OC3W","R3-W14OC3","R3","W14","O","C3","W","2022-04-19","437878d9d3776cbea3c42949a8224238","Human",NA,"False",0,15,0,NA,15,15,0,1,54,"2022-04-04","2022-04-19",15,0,"Match","Match O"
"86","R4-W16CC1B","R4-W16CC1","R4","W16","C","C1","B","2022-05-02","1d6f0f63de02741db70cee29bb13cf39","Domestic Dog",0,"False",0,12,1,NA,12,13,1,1,55,"2022-04-20","2022-05-03",13,0,"Match","Match C"
"87","R4-W16CC1W","R4-W16CC1","R4","W16","C","C1","W","2022-04-30","74a60a7bb1d5736779484983a6bc5ca9","European Badger",0,"False",0,10,1,NA,10,13,1,1,57,"2022-04-20","2022-05-03",13,0,"Mismatch","Mismatch C"
"88","R4-W16CC1W","R4-W16CC1","R4","W16","C","C1","W","2022-05-01","420cf45fe3bf7fc5e4a2228ec61c08e8","European Badger",0,"False",0,11,1,1,1,13,1,1,57,"2022-04-20","2022-05-03",13,0,"Mismatch","Mismatch C"
"89","R4-W16CC2B","R4-W16CC2","R4","W16","C","C2","B","2022-04-21","22801e4579f57c4602bbf1e96b4619b8","Red Fox",0,"False",0,1,1,NA,1,13,1,1,58,"2022-04-20","2022-05-03",13,0,"Match","Match C"
